size,median,confidence95_mean_lower_bound,confidence95_mean,confidence95_mean_upper_bound,cpu,ram
1KB,0.03372383117675781,0.03363025080616037,0.0361872935295105,0.03874433625286063,10.0,71.4
500KiB.bin,0.03957855701446533,0.037287287805102834,0.03880147695541382,0.040315666105724804,14.3,71.5
1MB.bin,0.043944597244262695,0.04431124437225859,0.0457463264465332,0.047181408520807815,13.4,71.6
10MB.bin,0.24221014976501465,0.2416442697194822,0.25012587785720825,0.2586074859949343,31.7,71.6
20MB.bin,0.4156486988067627,0.4164651392266135,0.424576895236969,0.43268865124732453,33.95,71.6
50MB.bin,0.9788408279418945,0.9713536175774946,0.992332730293274,1.0133118430090533,37.2,71.4
100MB.bin,1.7388339042663574,1.7255552310120719,1.7853478646278382,1.8451404982436046,39.0,71.4
200MB.bin,4.846216917037964,4.802688126405856,4.901849484443664,5.001010842481472,40.34,72.1
500MB.bin,9.367939352989197,9.467136882491554,9.731093719005585,9.995050555519617,42.90,73.7
